Date,Open,High,Low,Close,Adj Close ,Volume
11-Nov-24,599.81,600.17,597,598.76,591.57,"37,586,800"
8-Nov-24,596.17,599.64,596.17,598.19,591,"46,444,900"
7-Nov-24,593.08,596.65,593,595.61,588.46,"47,233,200"
6-Nov-24,589.2,591.93,585.39,591.04,583.94,"68,182,000"
5-Nov-24,570.74,576.74,570.52,576.7,569.77,"39,478,300"
4-Nov-24,571.18,572.5,567.89,569.81,562.97,"38,217,000"
1-Nov-24,571.32,575.55,570.62,571.04,564.18,"45,667,500"
31-Oct-24,575.56,575.63,568.44,568.64,561.81,"60,182,500"
30-Oct-24,581.29,583.32,579.29,580.01,573.04,"41,435,800"
29-Oct-24,579.85,582.91,578.43,581.77,574.78,"42,899,700"
28-Oct-24,582.58,582.71,580.52,580.83,573.85,"30,174,700"
25-Oct-24,581.51,584.46,578.08,579.04,572.08,"47,268,200"
24-Oct-24,579.98,580.06,576.57,579.24,572.28,"34,979,900"
23-Oct-24,581.26,581.71,574.42,577.99,571.05,"49,314,600"
22-Oct-24,581.05,584.5,580.38,583.32,576.31,"34,183,800"
21-Oct-24,583.85,584.85,580.6,583.63,576.62,"36,439,000"
18-Oct-24,584.07,585.39,582.58,584.59,577.57,"37,416,800"
17-Oct-24,585.91,586.12,582.16,582.35,575.36,"34,393,700"
16-Oct-24,579.78,582.83,578.96,582.3,575.31,"30,725,400"
15-Oct-24,584.59,584.9,578.54,579.78,572.82,"54,203,600"
14-Oct-24,581.22,585.27,580.73,584.32,577.3,"36,217,200"
11-Oct-24,576.05,580.33,575.91,579.58,572.62,"42,268,000"
10-Oct-24,575.77,577.58,574.49,576.13,569.21,"44,138,100"
9-Oct-24,573.16,577.71,572.55,577.14,570.21,"37,912,200"
8-Oct-24,570.42,573.78,569.53,573.17,566.29,"37,398,700"
7-Oct-24,571.3,571.96,566.63,567.8,560.98,"49,964,700"
4-Oct-24,572.35,573.36,568.1,572.98,566.1,"42,939,100"
3-Oct-24,567.36,569.8,565.49,567.82,561,"40,846,500"
2-Oct-24,567.71,569.9,565.27,568.86,562.03,"38,097,800"
1-Oct-24,573.4,574.06,566,568.62,561.79,"72,668,800"
30-Sep-24,570.42,574.38,568.08,573.76,566.87,"63,557,400"
27-Sep-24,573.39,574.22,570.42,571.47,564.61,"42,100,900"
26-Sep-24,574.38,574.71,569.9,572.3,565.43,"48,336,000"
25-Sep-24,571.14,571.89,568.91,570.04,563.19,"38,428,600"
24-Sep-24,570.48,571.36,567.6,571.3,564.44,"46,805,700"
23-Sep-24,569.34,570.33,568.1,569.67,562.83,"44,116,900"
20-Sep-24,567.84,569.31,565.17,568.25,561.42,"77,503,100"
19-Sep-24,571.01,572.88,568.08,570.98,562.4,"75,315,500"
18-Sep-24,563.74,568.69,560.83,561.4,552.96,"59,044,900"
17-Sep-24,565.1,566.58,560.79,563.07,554.61,"49,321,000"
16-Sep-24,561.74,563.11,559.9,562.84,554.38,"36,656,100"
13-Sep-24,559.71,563.03,559.45,562.01,553.56,"39,310,500"
12-Sep-24,555.01,559.4,552.74,559.09,550.69,"51,819,600"
11-Sep-24,548.7,555.36,539.96,554.42,546.09,"75,248,600"
10-Sep-24,548.36,549.15,543.38,548.79,540.54,"36,394,600"
9-Sep-24,544.65,547.71,542.68,546.41,538.2,"40,445,800"
6-Sep-24,549.94,551.6,539.44,540.36,532.24,"68,493,800"
5-Sep-24,550.89,553.8,547.1,549.61,541.35,"44,264,300"
